regiao,UF,municipio,codigo_municipio,urbana,rural,total,ano,ideb,fundeb
Norte ,RO,alta floresta d'oeste,1100015,970,386,1356,2017,5.1,8565667.03
Norte ,RO,alto alegre dos parecis,1100379,523,561,1084,2017,5.7,7220375.26
Norte ,RO,alto paraíso,1100403,742,655,1397,2017,5.8,8294997.91
Norte ,RO,alvorada d'oeste,1100346,760,216,976,2017,5.6,6205244.17
Norte ,RO,ariquemes,1100023,5822,1208,7030,2017,5.4,42686766.39
Norte ,RO,buritis,1100452,2294,873,3167,2017,5.6,15723779.42
Norte ,RO,cabixi,1100031,596,0,596,2017,6.1,2358897.82
Norte ,RO,cacaulândia,1100601,393,114,507,2017,5.8,2551085.93
Norte ,RO,cacoal,1100049,2808,956,3764,2017,6.1,24603681.4
Norte ,RO,campo novo de rondônia,1100700,506,780,1286,2017,5.3,7185239.63
Norte ,RO,candeias do jamari,1100809,1077,1102,2179,2017,4.1,13316597.99
Norte ,RO,castanheiras,1100908,0,340,340,2017,,1778607.58
Norte ,RO,cerejeiras,1100056,887,114,1001,2017,6,5624240.41
Norte ,RO,chupinguaia,1100924,619,510,1129,2017,5.2,5874319.01
Norte ,RO,colorado do oeste,1100064,1081,282,1363,2017,6.4,3689054.31
Norte ,RO,corumbiara,1100072,302,313,615,2017,5.7,3251143.9000000004
Norte ,RO,costa marques,1100080,739,670,1409,2017,5,7656786.87
Norte ,RO,cujubim,1100940,1242,457,1699,2017,4.5,11812678.15
Norte ,RO,espigão d'oeste,1100098,953,574,1527,2017,5.9,10457583.02
Norte ,RO,governador jorge teixeira,1101005,311,526,837,2017,5.5,4453442.26
Norte ,RO,guajará-mirim,1100106,3146,288,3434,2017,4.9,16086982.57
Norte ,RO,itapuã do oeste,1101104,1069,112,1181,2017,4.8,5771773.66
Norte ,RO,jaru,1100114,2441,792,3233,2017,5.7,17294803.92
Norte ,RO,ji-paraná,1100122,3176,786,3962,2017,7,26209370.76
Norte ,RO,machadinho d'oeste,1100130,1588,1653,3241,2017,4.9,18077911.24
Norte ,RO,ministro andreazza,1101203,353,200,553,2017,6.6,4346540.24
Norte ,RO,mirante da serra,1101302,688,170,858,2017,5.4,4312785.42
Norte ,RO,monte negro,1101401,593,495,1088,2017,4.7,6102606.66
Norte ,RO,nova brasilândia d'oeste,1100148,636,422,1058,2017,5.8,6735663.74
Norte ,RO,nova mamoré,1100338,862,1766,2628,2017,4.6,14138426.7
Norte ,RO,nova união,1101435,385,261,646,2017,5.4,3894700.76
Norte ,RO,novo horizonte do oeste,1100502,584,0,584,2017,5.5,3004422.43
Norte ,RO,ouro preto do oeste,1100155,2530,469,2999,2017,5.9,16666004.04
Norte ,RO,parecis,1101450,276,44,320,2017,5.1,2109750.98
Norte ,RO,pimenta bueno,1100189,2322,322,2644,2017,6.1,13196659.72
Norte ,RO,pimenteiras do oeste,1101468,272,0,272,2017,6.3,959772.26
Norte ,RO,porto velho,1100205,22878,8141,31019,2017,5.1,158428902.19
Norte ,RO,presidente médici,1100254,860,239,1099,2017,6.1,6367909.42
Norte ,RO,primavera de rondônia,1101476,249,113,362,2017,5.1,1662124.81
Norte ,RO,rio crespo,1100262,364,0,364,2017,4.7,1662375.05
Norte ,RO,rolim de moura,1100288,2674,474,3148,2017,5.7,17030054.56
Norte ,RO,santa luzia d'oeste,1100296,603,40,643,2017,6.8,2943876.62
Norte ,RO,são felipe d'oeste,1101484,411,0,411,2017,5.8,2041597.14
Norte ,RO,são francisco do guaporé,1101492,953,532,1485,2017,5.5,8968808.58
Norte ,RO,são miguel do guaporé,1100320,1182,684,1866,2017,5.6,10969355.88
Norte ,RO,seringueiras,1101500,633,411,1044,2017,5.4,5991490.21
Norte ,RO,teixeirópolis,1101559,224,190,414,2017,6,2594172.87
Norte ,RO,theobroma,1101609,0,590,590,2017,,6154012.88
Norte ,RO,urupá,1101708,574,472,1046,2017,6,6319010.12
Norte ,RO,vale do anari,1101757,469,358,827,2017,5.6,5241461.46
Norte ,RO,vale do paraíso,1101807,459,166,625,2017,5.1,3925705.3
Norte ,RO,vilhena,1100304,6359,303,6662,2017,5.7,35447837.11
Norte ,AC,acrelândia,1200013,879,430,1309,2017,5.4,8485707.1
Norte ,AC,assis brasil,1200054,636,453,1089,2017,4.9,4937016.73
Norte ,AC,brasiléia,1200104,1173,997,2170,2017,5.9,12360092.86
Norte ,AC,bujari,1200138,687,362,1049,2017,4.6,6093299.11
Norte ,AC,capixaba,1200179,670,583,1253,2017,4.2,8291574.65
Norte ,AC,cruzeiro do sul,1200203,2807,2137,4944,2017,4.9,39470576.51
Norte ,AC,epitaciolândia,1200252,1159,345,1504,2017,5.8,7723275.09
Norte ,AC,feijó,1200302,866,1789,2655,2017,5.5,17130323.86
Norte ,AC,jordão,1200328,255,1078,1333,2017,4.2,12018750.46
Norte ,AC,mâncio lima,1200336,1591,549,2140,2017,5.3,12924039.08
Norte ,AC,manoel urbano,1200344,873,448,1321,2017,5,6013211.8100000005
Norte ,AC,marechal thaumaturgo,1200351,904,2055,2959,2017,4.2,22249729.58
Norte ,AC,plácido de castro,1200385,494,562,1056,2017,4.9,8335999.19
Norte ,AC,porto acre,1200807,318,840,1158,2017,4.8,6827154.75
